評論者,星等,評論內容
illy,4,"👉 乾炒牛河：一端上來就看到這偏褐的醬色中帶著些許深沈，我就知道是個不錯的料理，一入口後就是滿滿的鑊氣沖入鼻腔，牛肉與河粉理所當然的都是軟嫩有餘，雖然有一點油但無傷大雅。

👉 港式煲老火湯：
湯品入口溫潤風味迷人，紅棗勾起一抹甘甜，排骨肉質鬆軟，好喝。

👉 蝦米煎腸粉：
軟Q的腸粉外皮是一層酥脆，蘊含者蔥香與蝦米的迷人香氣，對於花生醬沒什麼好感，個人比較忠於原味。是好吃的，不過稍微油一些。

👉  XO 炒蘿蔔糕：
很容易售鑿的品項蘿蔔糕炒得香，本身不會太鬆軟，外皮偶有脆口的小地方， 好吃不過有點油。

👉 揚州炒飯：
炒飯調味清爽，口感也不錯，整體有略油，還可以。

👉 臘味香菇雞：
點了一分鐘上菜十分的迅速，就是味道是分開的，雞肉還滿嫩的，味道就還行。

👉 豉椒排骨飯：
鑫華的肉醃的很好啊，豆豉的味道有層次，肉口感鬆軟，好吃。

👉 鮮肉腐皮卷：
皮薄脆如紙很厲害，內餡Q彈調味也很好，整體的香氣也十分的誘人，這樣說唯一的缺點就是裡面的油太多啦，好吃。

👉 豬排蛋三明治：
烤的酥脆的吐司，還有一點點咖喱醬紮實豬排，表現不錯。

👉 清炒高麗菜：
花雕味道的高麗菜，越吃越上頭，迅速就被我掃光，好吃啊。

👉 紅豆蓮子露：
超重的奶味，搭配紅豆挺好的，就是吃多有一點膩口，不錯。

👉 蒸奶皇包：
滿滿舒服的奶香，不錯。

👉 鹹魚雞粒炒飯：
鹹魚味不會很重，雞肉滑口，略油，還行。

👉 川貝杏仁茶：
就是你期待的那一種杏仁味，滿到漫出來的味道，不錯。

👉 澳門豬扒包：
有烤過好入口的麵包，搭配有咬勁的咖喱里肌肉與奶油，不錯。

👉 楊枝甘露：
滿濃稠的湯汁甘露，味道好像沒有特別厲害的地方，還行。

👉 餐肉蛋豬排飯：
餐肉煎的滿香的，口感鬆軟，就是有一點點鹹口，咖喱豬排，肉質紮實有咬勁挺好，再加上半熟蛋與醬油醬汁是在是不錯。

👉 首烏芝麻糊：
芝麻糊中感覺有一點紅棗香氣，不是以超濃厚的芝麻香氣見長，還行嚕。

👉 港式炒麵：
就是甜甜的港式炒麵，比平常能吃到的味道細緻一些，麵是脆脆的細麵，還行。

👉 豆沙煎餅：
有點蔥油餅香氣的煎餅，皮薄且脆，帶有淡淡的豆沙香氣，還行。

👉 蔥油雞飯：
結實還算嫩口的雞腿肉，搭配標準味道的蔥油醬，不錯。

👉 豉油皇炒麵：
口感硬爽的炒麵，豉油的香氣挺好，還有一點洋蔥的焦香，不錯。

👉 港式薄餅：
有一點像沒有蔥的蔥油餅，有一點油味，搭花生醬挺好的，還行。

👉 西式炒飯：
有一點蕃茄汁搭配德式香腸蠻有趣的，還行。

👉 鮮奶油多士：
香酥的帶甜的吐司，搭配一點鹹香的奶油

👉 牛肉豬仔包：
牛肉有嚼勁，麵包有一點奶油增香，還行。

👉 滑蛋牛肉飯：
味道清爽的滑蛋，幾乎沒有什麼很重的調味，還有牛肉淡淡的香氣，還行。

👉 窩蛋碎牛肉飯：
現在是荷包蛋，碎碎有調味過牛絞肉做一點勾芡味道還行，煎荷包蛋是蠻好吃的。還行。

👉 麻婆豆腐飯：
有一點中式香料的調味，豆腐很嫩，辣椒爽辣，整體味道不錯。

👉 鹹魚蒸肉餅飯：
肉餅滿大一塊的，白飯有一點不夠用，溫潤的豬絞肉帶一點鹹魚的香氣，鹹魚用的挺保守的，不過鹹度很夠，不錯。"
Archer Chang,5,"前一次造訪還是在舊店址的時候，這次吃起來覺得非常驚艷，樣樣都好吃，蘿蔔糕更是人人稱讚。
回想起來，前次造訪時還是窮學生，無法充分品嚐不同類型的菜單，這次能來真是太好了。"
Etan XAPP,5,搬到新點囉，人潮更多生意更好了，老闆和藹可親，永遠在第一線服務客人，兒子從小吃到大，每次必點汁多士、公仔麵，味道很道地，是永康商圈必來名店之一✅
明,5,"畢業後第一次回來，已經搬家了啊，種類多，推薦和朋友來才能吃多一點菜色

鴛鴦和西多士很快就上（主餐前）以後要記得吃到快結束再加點，今天為了趁熱，所以在公仔麵上來前先吃了🤣心心念念的西多士真的很讚，炸吐司、花生醬、奶油絕配。起司奶油豬排公仔麵還行，但沒想到是濕式，下次要吃乾炒。鴛鴦比較可惜，偏淡，應該不會再點

週日晚上人多，還好我一個人併桌沒等就坐進來了，翻桌看起來是蠻快，因為出餐也都快"
Martin,4,"一般港式餐點
干炒牛河還不錯"
YING YING HO,4,"蘿蔔糕吃的到蘿蔔，

菠蘿夾奶油，好吃的是超酥的菠蘿皮，我的天-超香的，咖哩口味的小點也好吃，因不餓，點的少，但好地道，好吃，有機會再訪👍"
宮本マリン,5,超～級～好～吃！！！難怪每次路過都這麼多人欸，不能預約訂位，但基本上七點前到場都不怎麼排隊，最推薦干炒牛肉河😍肉超嫩，吃了有幸福的感覺～下次想試試看滑蛋～
文華,4,用餐環境乾淨，餐點也算家常。適合一般家庭晚餐的口味。
Violet,5,"平日午餐時間抵達，很幸運只等候5分鐘左右

第一次來訪，有非常多餐點都想試試，無奈只有一人且食量太小，只能選擇公仔麵和西多士，與印象中在香港吃到的口味相比，有清淡一些些，但我個人非常喜歡！

看老闆招呼，似乎在地老熟客不少，也挺親切的～

有機會再來的話，肯定要再試試其他餐點🤩"
FK J (unit),2,"今天9月21週日中午過去用餐
用餐氛圍有夠差！
一道菜還沒吃完服務生就一直過來問可不可以收碗盤的（趕客人）！
點了200塊的排骨雞排公仔麵成了炒泡麵（泡麵排骨軟到噁心
揚州炒飯平平毫無亮點
還好港式煲湯和飲料檸檬蜜還可以
最糟糕的是消費540台幣
店家竟然沒有主動開發票涉嫌逃漏稅
建議店家吃飯時間客人那麼多
盡快改進補上發票
不然小心國稅局找上門！"
湘湘,3,"老闆是香港人，講話口音很可愛而且親切
主食味道偏淡，點心的部分比較吸引我

腊味蘿蔔糕$90:香氣十足且真材實料～有吃到細細的蘿蔔絲。

揚州炒飯$150:味道偏清淡、蝦子有四隻且Q彈，沒什麼記憶點。

滑蛋牛肉飯$140:比炒飯的味道更淡，吃起來一般般。

法蘭西多士$100:裡面有一層花生醬，旁邊會附上一小杯楓糖。朋友很喜歡，邊吃邊點頭稱讚。

下次有機會再訪會想嘗試其他的點心"
Jessie Wang王家茵,5,帶八旬父母來用餐，他們都蠻喜歡的。
Kyeom,5,點的是港式炒麵，調味很不錯但上面的海鮮沒有什麼味道！另外換新位置以後變得很明亮寬敞，吃起飯來很舒服，老闆人很好很親切👍
大高助教,5,"2025/05/02 晚上內用

煲火湯真心推薦的好喝，炒牛河的味道也很棒，最推的是腐皮卷。

老闆人很好，未來一定要再來吃"
Tseng Kenie (雷姆踩點筆記),4,"先說結論：#永康街港式茶餐廳
#生意超好上菜速度很快💨
#小菜類相對較驚艷
點餐時段：週一18：00
候位時間：0！（滿座率100%）
等餐時間：2分鐘
可支付方式：現金

以下為此次點餐的品項及價格🔻
🔺腸仔 $40👍🏼
一份切六段少少的，德式煙燻腸煎的脆口又油又香
🔺炸豬排 $110👍🏼
份量偏少，味道吃起來很像雞排，麵衣跟肉排完美融合在一起，像雞塊的做法，跟台灣的雞排不一樣滿特別的
🔺臘味蘿蔔糕 $90👍🏼
一份3片，真的是蠻好吃的吃得到蘿蔔的香還有口感，表面煎的酥脆剛剛好
🔺揚州炒飯 $160
份量可以2人分食，揚州可能不是港式招牌，可以說是幾乎沒有調味，幸好隨桌有辣油可以搭配，配料有蝦仁跟滷蛋半顆
🔺窩蛋碎牛肉飯 $150
份量適中，窩蛋就是生蛋黃藏在燴飯中，牛肉是有裹粉的吃來像漢堡排，燴飯本體普通，青菜吃來像芥蘭，另外配了滷蛋半顆

這次很幸運餐期來現場就有位置不用等
內用座位其實挺多的但好擠
店面跟餐點都算在地
唯一不在地的就是服務，超級好😄"
Kai Hsing (Ian),5,"推薦 ⭐️⭐️⭐️⭐️⭐️

🏷️ 非常到底的香港店！我以為來到香港了🇭🇰

店員幾乎都是香港人也都超幽默😂 很害怕我跟朋友點太多吃不完~

整體用餐體驗超好！可惜點不夠多🥲

有機會建議跟朋友3-4位一起來，可以點很多道！每一道都推薦！好吃👍"
褌水兵,5,好吃耶，菜頭粿也好吃，炒泡麵也好吃但偏鹹，沒想到份量有點多吃不下了😂 …
Alegría Wu,5,"多少年沒來了，店員都沒變
假日在他們開店時間前就開始排隊
排了一會兒店員就開門讓我們先入座看菜單
真的是太好了☺️腳超痠
點的餐也是很快就上來
口味也還是一樣
非常令人懷念的老味道！！！
我們一家人直接秒殺
兩位家人之前沒吃過
直接愛上😍
現在都會吵著要我帶他們來吃港式了"
shizuka chen,5,不會太鹹這點非常棒!基本上點的都蠻好吃的。但是出餐方式跟順序有點讓人難理解。但服務態度很好，人都蠻親切的。但是人很多要排隊。
Yu Shan C,5,"非常好吃！重點是餐點也不貴好加分
超級喜歡他們的公仔麵！！
炒河粉跟滑蛋蝦仁飯也很讚
西多士也超級好吃，一定要點😋
老闆跟服務員態度也很好，很會聊天哈哈😆"
WanHsin Huang,4,"收桌很快的餐廳
老闆很親切 店員也都很客氣
對餐點有疑問 他們也會耐心回答

吃了大概4年多了 也有換過吃其他像是臘味蒸飯 古老魚片飯 揚州炒飯 橙花雞排飯等 最愛的還是麻婆豆腐飯🤣
其實其他也都蠻好吃的 但就是麻婆豆腐特別夠味
通常餐點都會加附地瓜 花椰菜 會吃很飽的～

腐皮卷之前點過一次 但印象普通 所以後來沒再點過了🫠
只能付現 付現 付現啊！ 不能行動支付！要注意啊！ 還好附近有711可以領錢🤣"
Xin Huei Wang,5,菜色選擇多，出菜速度快，初訪品嚐港式炒麵、蝦米煎腸粉、腐皮卷、干炒牛河、炒蘿蔔糕、餐肉，以煎腸粉最為驚艷，外微酥內軟的口感，搭配花生醬與清醬油的佐醬，風味相當特別，腐皮卷酥脆可口，搭配清爽醬油恰到好處。唯收桌速度過快，略有用餐壓迫感，店內排風不佳。店家有開立發票。
Luffy,5,"乾炒牛河 $200
法蘭西多士 $100

食物蠻好吃的，但店內空間較擠，位置需併桌，翻桌率很高，吃得感覺比較趕、比較有壓力。"
L ß,5,"食物美味，
老闆親切，
服務生有時會非惡意放空，
楊枝甘露微苦但很好喝，
鹹魚蒸肉飯口味特別，
西多士不會太油，
煎腸粉蝦米是大隻的配上花生醬油恰到好處。"
kenny,4,"兩人的座位有點擁擠，東西上了放不下。

走的不是精緻的風格。腸粉我不建議，偏乾了一點。比較像是非常傳統的類型。

其他餐點還可以。價格相對便宜，但最近幾年其實也漲了不少。

這幾年茶餐廳也多了不少新選擇。這一家反而有點原地踏步。"
Fish Yu,4,"多年前，我藉由到政大公企中心上課的機會，頻繁來這間就位於公企中心對面的平價港式料理店解決晚餐，門面樸實，菜色多樣，尤其港式奶茶，茶味雖濃，卻不會過澀，相當不錯。可惜一學期後公企中心改建，我又得恢復往返木柵的校本部，又得知店面搬遷，也就沒再來過了。

日前洽公經過，終於有機會造訪新店，味道還是很不錯，而且時間尚早，店內幾乎沒有其他人，我吃得很悠哉，不禁想起那段白天上班、晚上上課，還得擠時間吃晚飯的日子。

----------
【牛肉炒麵】
我對港式脆麵很沒愛，不過這裡給的醬汁很充足，麵一下就軟了，省了我乾嚼麵條的功夫；青菜頗鮮脆，沒有炒太久造成的過老口感，牛肉也軟嫩多汁，醬汁味道適中，不會太淡也不會太鹹，整體來說不錯吃。

【鼓椒牛肉河】
就是炒粄條，挺不錯吃，而且點這個也不會加一些我寧可他不加的冷青菜，整盤都熱呼呼的。

【泰式炒米粉】
沙茶與香料風味挺重，我覺得還好。

【生炒牛肉飯】
米飯粒粒分明，口感略乾硬，其間有切成圓滾小塊的牛肉、些許青菜與油豆腐，除了牛肉頗嫩以外，沒什麼特殊之處。

【紅燒魚片燴飯】
魚片挺大塊，還附了幾片也挺大塊的油豆腐，還不錯吃。

【鮮茄牛肉燴飯】
除了配菜是冷的以外，燴飯醬汁充足（都快溢出來了），其中的蔬菜也炒得恰到好處，吃得出鮮脆的口感；牛肉依然相當軟嫩，而且給得也不少。

【滑蛋牛肉燴飯】
牛肉鮮嫩是這間店的特色，配上清脆蔬菜的口感，很是特別。

【鼓椒牛肉燴飯】
我很喜歡這裡的牛肉，口感軟嫩不堅韌，鼓椒有辣的香，卻沒有辣的麻，很不錯吃。

【海鮮湯麵】
用料挺豐富，味道也不錯，就是這賣相還真像我偶爾會煮的豪華泡麵（笑）。

【XO牛肉炒公仔麵】
醬汁味道比普通的牛肉炒麵稍重一些，可能這就是XD……我是說是XO醬的味道。

【起士豬排公仔麵】
翻攪了一下才發現原本以為是豆干條的物體是切成長條形的豬排，醬汁分量充足且滋味濃郁，青菜是現炒加入的（不是預先炒好事後再放入的）很鮮脆，不錯吃。

【起士奶油豬排公仔麵】
多年後又在新店吃了一次，感覺用料縮水了……但味道還是很不錯。

【港式煲老火湯】
是個每日例湯的概念，今天的湯是雞湯燉巴西菇，看起來不濁，喝起來可沒有因此無味，不過菇量實在有點少。

【腊味蘿蔔糕】
滋味很新鮮、還吃得出蘿蔔絲的蘿蔔糕，搭配的是甜味的沾醬，頗不錯。

【蝦米煎腸粉】
腸粉外皮酥脆，搭配胡麻風味的沾醬，不錯吃。

【港式薄餅】
是我沒吃過的神奇味道，吃起來有點像薄片蘿蔔糕，外皮並不酥脆，但口感很黏密，搭配的沾醬是甜的，不錯吃。

【鮮油波蘿飽】
我本來以為這就是個加熱過的菠蘿麵包，不過裡面塗了很厚一層奶油、又稍微烤過，奶油滋味充足又熱呼呼，還頗不錯吃。

【咖哩綜合】
就是個咖哩風味的關東煮，還挺特別，吃一次就好了。

【家鄉煎釀豆腐】
釀豆腐本體吸飽了醬汁，並從上方挖空包入肉餡（有點像淡水阿給）再下鍋煎，外皮酥脆卻不油膩，小小一份，適合做為吃個味道的小菜。

【蒜蓉炒時蔬】
今天的蔬菜是空心菜，還不錯吃。

【蠔油炒牛肉】
用料很豐富，鼓椒風味很不錯。

【XO醬炒蝦球】
蝦球大塊又彈牙，好吃。

【XO醬炒野菇】
主要是雪白菇、香菇和一些四季豆的熱炒，帶有一些些辣味，還有點蝦皮味（囧）。

【鮮牛肉三文治】
「三文治」即三明治，這就是個吐司麵包夾炒牛肉，但是牛肉很軟很嫩很有味道又熱呼呼而且肉量很充足，真的是豪好吃啊（嚼嚼）。

【法蘭西多士】
「多士」即吐司，食用這道點心前會送上專門對付它的刀叉和糖漿，油炸過的吐司中間夾著些許花生醬，搭配糖漿和奶油食用，是一道甜滋滋又油酥酥的點心。

【鮮奶油多士】
這就是個烤吐司麵包夾鮮奶油，但是這鮮奶油都快跟吐司一樣厚了，奶油味非常充足，配上酥酥的吐司麵包很不錯。

【招牌奶茶】
我是奶茶控，而且是奶味至上的人，雖然這杯奶茶的茶味＞奶味，但不至於覺得茶味太澀，深得我心，所以每次我都會再外帶一杯，助我度過公企中心晚上漫長的上課時間。

【特式鴛鴦】
較招牌奶茶又多了幾分咖啡味，也挺不錯喝。"
綠豆長芽了,5,"꒰ 乾炒豬排公仔麵 $200 ꒱
꒰ XO炒蘿蔔糕 $190 ꒱
꒰ 花生奶醬西多士 $70 ꒱
꒰ 招牌奶茶 $80 ꒱
-
先是去了附近印刷工作室
再去新店看螢火蟲
-
𖥧乾炒豬排公仔麵𖥧
豬排是有先調味過的
單吃會有點過鹹
但是整碗麵吃起來剛剛好很好ㄘ
⸝⸝⸝
𖥧XO炒蘿蔔糕𖥧
這是我目前為止吃到最好吃的炒蘿蔔糕
外皮酥酥脆脆 裡面很潤嫩 帶一點點辣
再跟店家要醬料 又提升一個level！
⸝⸝⸝
𖥧花生奶醬西多士𖥧
第一次吃西多士 沒有想過會是這個味道
外面的吐司是鹹的 配上甜的花生醬
鹹鹹甜甜當作這餐的收尾剛剛好"
Amy,5,"餐點選擇很多！
有不少菜沒有看過和吃過～～～
煎腸粉口感很特別！好吃👍🏻
三明治那些也是十分美味～
每一道都好好吃🥺下次還想去嚐嚐其他道"
大葳,4,"靠近廚房油煙味蠻重的
有提供檸檬水👍
牛肉撈麵口味偏鹹
咖喱綜合要趁熱吃
楊枝甘露不合口味
蠔油芥藍有豬油香"
吳敏雯,5,"無法事先訂位，必須現場候位的好吃餐廳，大哥招呼的很熱情，候位時可以先畫菜單，有座位時，就可以快速上菜了！
招牌的餐肉蛋豬排飯，咖喱味的豬排、雞排，有醃入味，非常好咬！那個半熟煎蛋真的很好吃，醬油不死鹹，真的太厲害了！
公仔麵有點鹹，這時就要靠檸檬紅茶來搭配一下😂😂
腊味煎蘿蔔糕必點！煎的恰恰的，醬油膏畫龍點睛，再加上一點點辣，就很辣的辣椒醬，可以一人一盤了！
檸檬紅茶就是凍檸茶，還不錯！楊枝甘露做為飯後甜點，非常滿足！
這兒適合走路來，慢慢散步消消食，吃很多都是沒問題的！"
